,name,city,country,region,iso,iata,icao,lat,lon
2975,Koltsovo Airport,Yekaterinburg,Russia,Europe & Central Asia,RUS,SVX,USSS,56.743099212646,60.802700042725
2976,Ashgabat International Airport,Ashkhabad,Turkmenistan,Europe & Central Asia,TKM,ASB,UTAA,37.986801,58.361
2979,Dushanbe Airport,Dushanbe,Tajikistan,Europe & Central Asia,TJK,DYU,UTDD,38.5433006287,68.8249969482
2980,Bukhara Airport,Bukhara,Uzbekistan,Europe & Central Asia,UZB,BHK,UTSB,39.775001525878906,64.4832992553711
2981,Samarkand Airport,Samarkand,Uzbekistan,Europe & Central Asia,UZB,SKD,UTSS,39.70050048828125,66.98380279541016
2983,Tashkent International Airport,Tashkent,Uzbekistan,Europe & Central Asia,UZB,TAS,UTTT,41.257900238,69.2811965942
2985,Sheremetyevo International Airport,Moscow,Russia,Europe & Central Asia,RUS,SVO,UUEE,55.972599,37.4146
2987,Voronezh International Airport,Voronezh,Russia,Europe & Central Asia,RUS,VOZ,UUOO,51.81420135498047,39.22959899902344
2988,Vnukovo International Airport,Moscow,Russia,Europe & Central Asia,RUS,VKO,UUWW,55.5914993286,37.2615013123
2989,Syktyvkar Airport,Syktyvkar,Russia,Europe & Central Asia,RUS,SCW,UUYY,61.64699935913086,50.84510040283203
2990,Kazan International Airport,Kazan,Russia,Europe & Central Asia,RUS,KZN,UWKD,55.606201171875,49.278701782227
2991,Orenburg Central Airport,Orenburg,Russia,Europe & Central Asia,RUS,REN,UWOO,51.795799255371094,55.45669937133789
2992,Ufa International Airport,Ufa,Russia,Europe & Central Asia,RUS,UFA,UWUU,54.557498931885,55.874401092529
